,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T
70,02.03.2024,RODADA 27,Nottingham,Liverpool,0,1,0,0,0,1,0.63,0.53,27%,73%,3,8,1,0,2,8,5,9,1,3,2,1,20,13,0,1,7,5,0,0,0,0,135,359,11,10,40,91,13,33,9,3
71,02.03.2024,RODADA 27,Tottenham,Crystal Palace,3,1,0,0,3,1,1.10,0.41,82%,18%,2,3,1,0,1,3,11,8,4,1,2,3,8,3,0,1,6,8,0,0,0,0,447,91,6,7,68,28,48,12,6,12
72,26.02.2024,RODADA 26,West Ham,Brentford,4,2,2,1,2,1,0.99,0.12,43%,57%,14,2,3,1,11,1,8,4,0,2,2,3,10,16,0,1,2,5,0,0,0,1,203,270,8,13,68,49,31,28,16,11
73,25.02.2024,RODADA 26,Wolverhampton,Sheffield Utd,1,0,1,0,0,0,0.96,0.24,70%,30%,8,4,1,2,7,2,1,3,3,1,1,0,8,4,2,0,1,2,0,0,0,0,345,158,11,8,67,34,33,12,6,13
74,24.02.2024,RODADA 26,Arsenal,Newcastle,4,1,2,0,2,1,1.47,0.00,64%,36%,11,0,4,0,7,0,6,11,6,0,2,2,5,9,0,2,9,3,0,0,1,0,353,202,7,4,74,17,61,8,4,17
75,24.02.2024,RODADA 26,Bournemouth,Manchester City,0,1,0,1,0,0,0.14,1.43,33%,67%,4,9,2,4,2,5,3,9,2,1,1,0,8,11,3,2,8,3,0,0,1,0,160,321,12,2,34,64,11,29,10,4
76,24.02.2024,RODADA 26,Aston Villa,Nottingham,4,2,3,1,1,1,1.83,0.90,58%,42%,7,4,4,1,3,3,9,6,4,1,1,1,6,9,0,1,5,8,0,0,0,2,238,174,8,13,33,37,24,19,11,6
77,24.02.2024,RODADA 26,Brighton,Everton,1,1,0,0,1,1,0.73,0.00,60%,40%,10,0,3,0,7,0,7,2,8,2,0,1,10,5,0,3,2,7,0,0,0,1,315,212,7,6,40,27,30,19,5,9
78,24.02.2024,RODADA 26,Crystal Palace,Burnley,3,0,0,0,3,0,0.63,0.00,58%,42%,6,0,1,0,5,0,8,8,9,2,6,1,9,5,0,1,3,8,0,1,0,0,232,178,7,4,62,44,38,12,8,17
79,24.02.2024,RODADA 26,Manchester Utd,Fulham,1,2,0,0,1,2,0.38,0.53,50%,50%,8,8,2,3,6,5,6,2,4,6,2,0,3,8,3,2,1,7,0,0,1,3,250,243,8,5,48,50,25,19,8,12
