,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T
70,28.02.2024,RODADA 27,Pisa,Modena,2,2,1,0,1,2,0.94,1.36,42%,58%,5,9,4,4,0,3,15,12,3,6,1,3,18,28,2,2,12,11,1,0,3,5,366,487,15,19,64,135,33,48,37,11
71,28.02.2024,RODADA 27,Spezia,FeralpiSalo,0,2,0,1,0,1,0.80,0.81,67%,33%,19,9,2,2,10,6,14,17,8,3,0,2,30,17,0,2,0,0,13,15,3,1,555,280,17,13,139,69,51,30,8,30
72,28.02.2024,RODADA 27,Venezia,Cittadella,2,0,1,0,1,0,1.11,0.91,52%,48%,11,23,4,5,4,10,11,10,4,14,1,0,21,32,5,2,0,0,10,8,1,2,432,370,14,14,87,121,20,79,37,13
73,27.02.2024,RODADA 27,Catanzaro,Bari,2,0,1,0,1,0,1.27,1.53,38%,62%,7,21,4,4,2,13,20,10,2,3,1,2,12,19,4,2,0,0,16,10,2,3,370,589,9,12,54,90,38,86,20,7
74,27.02.2024,RODADA 27,Lecco,Como,0,3,0,2,0,1,0.15,1.08,49%,51%,6,18,1,6,3,8,9,21,4,6,3,2,26,22,3,1,0,0,7,17,2,0,427,454,14,16,65,83,66,88,30,26
75,27.02.2024,RODADA 27,Palermo,Ternana,2,3,1,1,1,2,0.27,1.80,57%,43%,10,16,3,4,3,9,16,11,3,4,0,2,17,18,1,1,0,0,14,11,2,2,508,372,10,20,77,63,74,55,22,22
76,27.02.2024,RODADA 27,Parma,Cosenza,1,1,1,1,0,0,0.63,1.02,48%,52%,12,8,2,3,3,4,17,16,7,5,1,1,23,19,2,1,16,14,1,0,4,3,467,491,9,13,230,188,135,97,16,20
77,27.02.2024,RODADA 27,Sampdoria,Cremonese,1,2,1,1,0,1,0.82,1.74,42%,58%,8,22,2,7,5,9,17,17,3,10,1,1,16,18,5,1,0,0,16,14,2,4,381,510,14,11,74,97,40,97,25,6
78,27.02.2024,RODADA 27,Ascoli,Brescia,1,1,1,1,0,0,1.51,0.10,54%,46%,15,5,5,1,8,3,23,20,4,0,3,1,26,24,0,4,0,0,21,16,1,1,404,346,12,19,240,185,168,69,10,34
79,27.02.2024,RODADA 27,Reggiana,Sudtirol,1,1,0,0,1,1,0.93,0.58,54%,46%,9,9,1,4,4,4,15,11,2,2,0,3,15,17,3,0,0,0,11,12,2,2,581,484,12,16,93,78,64,49,14,17
